feature,importance
INT_EXT_AVG,1448147.0327922106
INT_EXT_23_MULT,348122.9539642334
INST_RECENT_INST_PAYMENT_RATIO,145959.18703460693
INT_EXT_MAX,143313.34135723114
INT_DOC_CREDIT,130028.96851348877
DAYS_BIRTH,124154.3563709259
INT_INCOME_PER_YEAR_EMPLOYED,107137.96191978455
EXT_SOURCE_1,91567.50590324402
AMT_ANNUITY,89809.56055259705
INT_EXT_MIN,86887.6787443161
AMT_GOODS_PRICE,85089.86278533936
NAME_EDUCATION_TYPE,81373.61700820923
INT_GENDER_CREDIT,80920.4909362793
BUREAU_DAYS_CREDIT_MAX,73724.22842597961
INT_EMPLOY_INCOME,72872.98734283447
INT_PAYMENT_LATE,72610.22379684448
DAYS_ID_PUBLISH,71006.04769325256
PREV_APP_CREDIT_RATIO,70830.3180551529
POS_CNT_INSTALMENT_FUTURE_MEAN,64755.9105014801
BUREAU_DAYS_CREDIT_ENDDATE_MAX,64030.605295181274
EXT_SOURCE_3,63872.80698108673
DOC_PER_CREDIT_UNIT,60599.562311172485
POS_AVG_COMPLETION,60177.35835170746
INST_PAYMENT_COMPLETION_RATE,58153.09207725525
BUREAU_DAYS_ENDDATE_FACT_MAX,56051.47208786011
PREV_CNT_PAYMENT_MEAN,52569.85530090332
DAYS_REGISTRATION,52566.346119880676
DAYS_LAST_PHONE_CHANGE,52408.08680391312
BUREAU_DEBT_CREDIT_RATIO,51677.6845703125
INT_AGE_ANNUITY,51443.82917022705
BUREAU_AMT_CREDIT_SUM_DEBT_STD,50837.98861980438
DAYS_EMPLOYED,50796.949672698975
PREV_AMT_DOWN_PAYMENT_SUM,47828.55639362335
OWN_CAR_AGE,47265.300786972046
INT_DOC_INCOME,46918.75583219528
INST_AMT_PAYMENT_SUM,46188.23268890381
BUREAU_AMT_CREDIT_SUM_MAX,45693.39318275452
PREV_PREV_APP_REFUSED_MEAN,45206.23663520813
AMT_CREDIT,44461.85259056091
INT_EXT_12_MULT,43960.5176525116
BUREAU_AMT_CREDIT_SUM_MIN,42475.94686126709
EXT_SOURCE_2,41880.64063644409
PREV_APPROVAL_RATE,41275.605993270874
INT_EXT_STD,40277.06050109863
PREV_AMT_ANNUITY_MEAN,40114.6328727901
BUREAU_AMT_CREDIT_SUM_MEAN,38840.04767036438
INT_AGE_CREDIT,38658.04071140289
INT_EXT_12_DIFF,38316.70604515076
BUREAU_DAYS_CREDIT_ENDDATE_MEAN,37694.22492980957
BUREAU_AMT_CREDIT_SUM_SUM,36715.02235412598
PREV_AMT_DOWN_PAYMENT_MAX,35690.33037567139
INST_INST_DPD_SUM,35610.58898258209
INST_INST_PAID_EARLY_SUM,35375.08234977722
INST_PAYMENT_CONSISTENCY,35099.93959617615
BUREAU_DAYS_CREDIT_MIN,34676.20306968689
BUREAU_DAYS_CREDIT_UPDATE_MAX,34559.11713695526
INST_INST_DPD_MAX,34511.12341117859
PREV_DAYS_DECISION_MAX,34041.45080661774
INST_RECENT_INST_DPD,34035.071420669556
GEO_REGION_POPULATION_RELATIVE_LOG,33989.05915641785
BUREAU_AMT_CREDIT_SUM_STD,33979.32384300232
PREV_RATE_DOWN_PAYMENT_MAX,32834.655099868774
INT_EXT_23_RATIO,31401.1876373291
PREV_AMT_ANNUITY_MIN,31362.482236862183
INST_RECENT_INST_PAID_LATE,31052.87148475647
POS_MONTHS_BALANCE_MEAN,30634.999683380127
PREV_DAYS_DECISION_MEAN,30496.336488723755
PREV_REFUSAL_RATE,29913.105788230896
NAME_FAMILY_STATUS,29399.450212478638
PREV_CNT_PAYMENT_MAX,29244.964630126953
INT_GENDER_INCOME,28757.62425994873
BUREAU_CREDIT_UTILIZATION,28755.429246902466
POS_MONTHS_BALANCE_MAX,28362.646366119385
INST_INST_DPD_STD,28243.111956596375
INST_INST_PAYMENT_RATIO_MEAN,28182.531116485596
POS_POS_STATUS_ACTIVE_MEAN,27740.4842338562
CC_VERY_RECENT_CC_UTILIZATION,27369.09357357025
POS_CNT_INSTALMENT_FUTURE_MAX,27343.59289741516
PREV_AMT_ANNUITY_MAX,27205.390307426453
CC_CC_OVER_LIMIT_MEAN,27162.588256835938
CC_DRAWING_TO_PAYMENT_RATIO,27095.122831344604
BUREAU_DAYS_CREDIT_STD,26990.34591817856
AMT_INCOME_TOTAL,26952.952377319336
INST_AMT_INSTALMENT_MIN,26912.97139930725
ORGANIZATION_TYPE,26528.556997299194
PREV_AMT_DOWN_PAYMENT_MEAN,26429.859210014343
POS_MONTHS_BALANCE_MIN,26301.75030899048
PREV_AMT_GOODS_PRICE_MIN,26006.251573562622
FLAG_OWN_CAR,25828.864555358887
INST_AMT_INSTALMENT_SUM,25500.21728992462
INST_INST_DPD_MIN,25450.817812919617
INST_AMT_PAYMENT_MEAN,25307.372833251953
BUREAU_DAYS_CREDIT_UPDATE_MEAN,24987.566026449203
GEO_LIVING_AREA_CV,24221.00867843628
BUREAU_AVG_CREDIT_AGE_YEARS,24182.09393119812
BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,24127.825929641724
POS_CNT_INSTALMENT_MEAN,23869.286098480225
PREV_AMT_CREDIT_STD,23760.0788936615
INST_INST_PAID_LATE_MEAN,23701.35461139679
POS_CNT_INSTALMENT_MAX,23599.645668029785
PREV_DAYS_FIRST_DUE_MAX,23559.839792251587
DOC_PER_INCOME_UNIT,23244.715021133423
BUREAU_DAYS_ENDDATE_FACT_MIN,23166.028839111328
OCCUPATION_TYPE,23147.539701461792
PREV_DAYS_FIRST_DUE_MEAN,23014.097412109375
PREV_DAYS_FIRST_DUE_MIN,22866.85929131508
INST_INST_PAYMENT_RATIO_MIN,22833.32643508911
INT_PAYMENT_BUREAU,22735.536877155304
INST_AMT_PAYMENT_MIN,22670.441521644592
POS_RECENT_POS_STATUS_ACTIVE_SUM,22297.84381866455
BUREAU_DAYS_CREDIT_ENDDATE_MIN,22204.0108795166
BUREAU_DAYS_ENDDATE_FACT_MEAN,21988.33240890503
INST_INST_PAID_EARLY_MEAN,21872.931434631348
PREV_DAYS_LAST_DUE_MEAN,21104.621116638184
INST_NUM_INSTALMENT_NUMBER_MAX,21047.334398269653
CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,20947.872365951538
PREV_CNT_PAYMENT_SUM,20846.47361755371
PREV_DOWN_PAYMENT_RATIO,20778.764337539673
INST_AMT_INSTALMENT_MEAN,20774.063396453857
BUREAU_DAYS_CREDIT_MEAN,20769.746152877808
PREV_RATE_DOWN_PAYMENT_MEAN,20607.63889312744
POS_POS_INSTALLMENT_RATIO_MAX,20433.28738594055
BUREAU_CREDIT_DIVERSITY,20413.077989578247
INST_LATE_PAYMENT_TREND,20108.132621765137
PREV_DAYS_DECISION_MIN,19817.052268981934
PREV_DAYS_LAST_DUE_MIN,19441.561504364014
BUREAU_CREDIT_RECENCY_DAYS,19305.212312698364
INST_AVG_DAYS_EARLY,19135.14347267151
CC_CC_UTILIZATION_MAX,19110.674114227295
PREV_DAYS_TERMINATION_MEAN,19007.730939865112
PREV_AMT_APPLICATION_MEAN,18876.507345199585
BUREAU_AMT_CREDIT_SUM_DEBT_MAX,18399.853452682495
POS_GOOD_COMPLETION_RATE,18073.273493766785
BB_BB_STATUS_0_MEAN,17942.312017440796
INST_INST_PAYMENT_RATIO_STD,17902.192259788513
BUREAU_AMT_CREDIT_SUM_DEBT_SUM,17738.211524009705
PREV_AMT_GOODS_PRICE_MEAN,17523.662231445312
DEF_60_CNT_SOCIAL_CIRCLE,17501.712141036987
INST_INST_EXACT_PAYMENT_SUM,17406.86758995056
CC_RECENT_CC_USING_CASH_ADVANCE,17378.70406150818
INST_INST_OVERPAID_MEAN,17378.455877304077
INST_AMT_INSTALMENT_STD,17201.30828857422
GEO_APARTMENTS_STD,17036.332704544067
POS_CNT_INSTALMENT_FUTURE_SUM,16701.65157699585
PREV_RATE_DOWN_PAYMENT_MIN,16659.92649078369
INST_INST_PAYMENT_RATIO_MAX,16267.654468536377
INST_AMT_INSTALMENT_MAX,16257.90062713623
HOUR_APPR_PROCESS_START,16250.917938232422
BUREAU_ACTIVE_CREDITS,16162.23119544983
PREV_AMT_CREDIT_MEAN,15845.509439468384
BUREAU_AMT_CREDIT_SUM_LIMIT_MEAN,15826.144338607788
NAME_INCOME_TYPE,15652.199010848999
BB_BB_STATUS_X_MEAN,15491.336589813232
PREV_AMT_CREDIT_MIN,15486.14380645752
POS_NUM_ACTIVE_LOANS,15465.795919418335
BB_BB_STATUS_C_SUM,15416.925476074219
POS_CNT_INSTALMENT_SUM,15161.861135482788
PREV_DAYS_TERMINATION_MIN,15079.508749008179
TOTALAREA_MODE,14759.159912109375
POS_MONTHS_BALANCE_COUNT,14739.124244689941
PREV_AMT_CREDIT_MAX,14635.51784324646
BB_BB_STATUS_0_SUM,14425.56877708435
INST_INST_DPD_MEAN,14410.924030303955
INST_INST_PAID_ON_TIME_MEAN,14225.550906181335
PREV_CHANNEL_DIVERSITY,14144.80884885788
INST_INST_PAYMENT_DIFF_MIN,14072.58572769165
BB_MONTHS_BALANCE_SIZE,13992.6195936203
GEO_CITY_RISK_SCORE,13990.069885253906
PREV_AMT_APPLICATION_MIN,13984.243026733398
BUREAU_DAYS_CREDIT_UPDATE_MIN,13966.248558044434
PREV_AMT_CREDIT_SUM,13772.685599327087
BB_RECENT_12M_CURRENT_RATE,13754.398239135742
INST_AMT_PAYMENT_STD,13618.838178634644
PREV_AMT_APPLICATION_SUM,13606.124870300293
YEARS_BEGINEXPLUATATION_MODE,13588.207485198975
INST_NUM_INSTALMENT_NUMBER_COUNT,13574.0228805542
INST_INST_PAYMENT_DIFF_MEAN,13549.177989959717
GEO_LIVING_AREA_STD,13515.13970375061
BUREAU_AMT_CREDIT_SUM_LIMIT_MAX,13491.650732040405
GEO_BUILDING_AGE_STD,13354.036754608154
REG_CITY_NOT_LIVE_CITY,13329.651559829712
PREV_PREV_APP_APPROVED_MEAN,13216.32592201233
INST_AMT_PAYMENT_MAX,13085.963768959045
WEEKDAY_APPR_PROCESS_START,12874.659485816956
YEARS_BEGINEXPLUATATION_AVG,12786.817615509033
LANDAREA_MODE,12649.152935028076
CC_AMT_CREDIT_LIMIT_ACTUAL_MEAN,12635.72276878357
LANDAREA_AVG,12551.483505249023
POS_POS_INSTALLMENT_RATIO_MEAN,12237.311492919922
PREV_AMT_APPLICATION_MAX,12176.117035865784
BB_BB_STATUS_C_MEAN,11994.781803131104
CC_RECENT_CC_UTILIZATION,11952.579931259155
INST_INST_PAYMENT_DIFF_SUM,11749.603784561157
NONLIVINGAREA_AVG,11623.93529510498
CC_CNT_DRAWINGS_CURRENT_MEAN,11472.466131210327
CC_VERY_RECENT_CC_PAYMENT_RATIO,11258.937910079956
BB_BB_STATUS_X_SUM,11215.7412109375
PREV_DAYS_LAST_DUE_MAX,11136.987714767456
NONLIVINGAREA_MODE,10989.214378356934
POS_SK_DPD_DEF_MEAN,10963.065469741821
APARTMENTS_MODE,10679.38236618042
BASEMENTAREA_MODE,10560.321743011475
AMT_REQ_CREDIT_BUREAU_QRT,10551.231716156006
NONLIVINGAREA_MEDI,10513.17416191101
PREV_PREV_APP_CANCELED_MEAN,10455.484214782715
POS_POS_INSTALLMENT_RATIO_MIN,10399.609489440918
PREV_DAYS_TERMINATION_MAX,10344.990976333618
BB_MONTHS_BALANCE_MIN,10242.596536636353
DEF_30_CNT_SOCIAL_CIRCLE,10195.001279830933
BUREAU_AMT_CREDIT_SUM_LIMIT_SUM,9976.283973693848
INST_INST_PAYMENT_DIFF_STD,9961.083679199219
INST_INST_EXACT_PAYMENT_MEAN,9746.003210067749
POS_RECENT_SK_DPD_MEAN,9601.777263641357
POS_DPD_TREND,9530.596092224121
LIVINGAREA_MODE,9259.983724594116
FLAG_DOCUMENT_3,9159.304401397705
COMMONAREA_MODE,8882.948488235474
CC_AVG_UTILIZATION,8866.432149887085
CC_CC_PAYMENT_RATIO_MAX,8809.209571838379
LANDAREA_MEDI,8661.915496826172
POS_RECENT_POS_HAS_DPD_MEAN,8589.093811035156
GEO_COMBINED_RISK,8486.3682346344
YEARS_BEGINEXPLUATATION_MEDI,8338.878114700317
DOC_ESSENTIAL_COUNT,8337.39525794983
GEO_BASEMENT_MEAN,8324.458305358887
APARTMENTS_AVG,8286.707426071167
INST_LATE_PAYMENT_RATE,8165.406391143799
PREV_PRODUCT_DIVERSITY,8130.628007888794
INST_INST_PAID_ON_TIME_SUM,8072.20299911499
REGION_POPULATION_RELATIVE,8060.990913391113
LIVINGAREA_AVG,7996.163190364838
BASEMENTAREA_AVG,7943.612394332886
INST_INST_OVERPAID_SUM,7861.272476196289
CC_NUM_ACTIVE_CARDS,7822.972093582153
CC_CNT_DRAWINGS_CURRENT_MAX,7804.776895523071
CC_CC_PAYMENT_RATIO_MEAN,7560.664095878601
COMMONAREA_AVG,7473.463905334473
INST_TOTAL_UNDERPAID,7457.199146270752
LIVINGAPARTMENTS_MODE,7384.588098526001
PREV_CANCEL_RATE,7263.906726837158
BASEMENTAREA_MEDI,7193.400974273682
POS_RECENT_SK_DPD_MAX,7137.932113647461
LIVINGAPARTMENTS_MEDI,7125.23260307312
CNT_FAM_MEMBERS,6979.781488418579
INST_INST_UNDERPAID_MEAN,6953.453742027283
GEO_APARTMENTS_MEAN,6867.825721740723
POS_SK_DPD_DEF_MAX,6817.520324707031
OBS_30_CNT_SOCIAL_CIRCLE,6770.523109436035
CC_AMT_DRAWINGS_ATM_CURRENT_MEAN,6739.801601409912
INT_UTIL_DEBT,6726.546499252319
PREV_AMT_GOODS_PRICE_MAX,6672.673250198364
CC_CNT_INSTALMENT_MATURE_CUM_MEAN,6630.502397537231
CC_CC_USING_CASH_ADVANCE_MEAN,6453.292533874512
GEO_LIVING_AREA_MEAN,6446.244121551514
COMMONAREA_MEDI,6387.614862442017
CC_CC_UTILIZATION_STD,6368.453702926636
CC_CC_DRAWING_RATIO_MEAN,6305.882278442383
CC_CC_RECEIVABLE_RATIO_MAX,6291.950601577759
OBS_60_CNT_SOCIAL_CIRCLE,6223.954614639282
CC_CC_FULL_BALANCE_SUM,6172.903995513916
CC_CC_UNDERPAYING_MEAN,6105.73551940918
